Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Trụ sở hành chính 1	Địa chỉ trụ sở hành chính 1	Full Address 1	Latitude 1	Longitude 1	Trụ sở hành chính 2	Địa chỉ trụ sở hành chính 2	Full Address 2	Latitude 2	Longitude 2	Ghi chú trụ sở
Cầu Kiệu	45	Phường	62663	1.23	50945.53	Phường 1 (Quận Phú Nhuận), Phường 2 (Quận Phú Nhuận), Phường 7 (Quận Phú Nhuận)	Phường 15 (Quận Phú Nhuận)	phường Đức Nhuận, phường Phú Nhuận, phường Tân Định, phường Gia Định	UBND phường 15	số 67 - 69 Nguyễn Đình Chính, phường 15, quận Phú Nhuận	UBND phường 15 số 67 - 69 Nguyễn Đình Chính, phường 15, quận Phú Nhuận 	10.7963904	106.6793945			  			
Cầu Ông Lãnh	46	Phường	78734	1.6	49208.75	Phường Nguyễn Cư Trinh (Quận 1), Phường Cầu Kho (Quận 1), Phường Cô Giang (Quận 1)	Phường Cầu Ông Lãnh (Quận 1)	phường Bến Thành, phường Bàn Cờ, phường Chợ Quán, phường Khánh Hội, phường Vĩnh Hội	TT Bồi dưỡng chính trị quận 1	số 275 Nguyễn Trãi, phường Nguyễn Cư Trinh, quận 1	TT Bồi dưỡng chính trị quận 1 số 275 Nguyễn Trãi, phường Nguyễn Cư Trinh, quận 1 	10.7654678	106.6886031			  			
Chánh Hiệp	47	Phường	57176	19.89	2874.56	Phường Định Hoà (TP. Thủ Dầu Một), Phường Tương Bình Hiệp (TP. Thủ Dầu Một)	Phường Hiệp An (TP. Thủ Dầu Một), Phường Chánh Mỹ (TP. Thủ Dầu Một)	phường Bình Dương, phường Phú Lợi, phường Thủ Dầu Một, phường Phú An, phường Hoà Lợi và xã Bình Mỹ	UBND phường Tương Bình Hiệp	số 279 Hồ Văn Cống, phường Tương Bình Hiệp, TP.Thủ Dầu Một	UBND phường Tương Bình Hiệp số 279 Hồ Văn Cống, phường Tương Bình Hiệp, TP.Thủ Dầu Một 	11.0089965	106.6333715			  			
Chánh Hưng	48	Phường	190707	4.61	41368.11	Phường Rạch Ông (Quận 8), Phường Hưng Phú (Quận 8), Phường 4 (Quận 8)	Phường 5 (Quận 8)	phường Bình Đông, phường Phú Định, phường Chợ Quán, phường An Đông, phường Tân Hưng, phường Vĩnh Hội và xã Bình Hưng	UBND quận 8	số 2 - 4 Dương Quang Đông, phường 5, quận 8	UBND quận 8 số 2 - 4 Dương Quang Đông, phường 5, quận 8 	10.740333	106.6654137			  			
Chánh Phú Hoà	49	Phường	53916	69.54	775.33	Phường Chánh Phú Hoà (TP. Bến Cát), Xã Hưng Hoà (H. Bàu Bàng)		phường Vĩnh Tân, phường Bến Cát, phường Hoà Lợi, phường Thới Hoà, xã Phước Hoà và xã An Long	UBND phường Chánh Phú Hòa	đường ĐTT 741, phường Chánh Phú Hòa, TP.Bến Cát	UBND phường Chánh Phú Hòa đường ĐTT 741, phường Chánh Phú Hòa, TP.Bến Cát 	11.144154	106.6699444			  			
Châu Đức	50	Xã	28240	84.66	333.57	Xã Cù Bị (H. Châu Đức), Xã Xà Bang (H. Châu Đức)		xã Bình Giã, xã Kim Long, phường Tân Thành và tỉnh Đồng Nai	UBND Xã Xà Bang	ấp Liên Lộc, xã Xà Bang, huyện Châu Đức	UBND Xã Xà Bang ấp Liên Lộc, xã Xà Bang, huyện Châu Đức 	19.9441873	105.9200531			  			
Châu Pha	51	Xã	25438	65.64	387.52	Xã Tóc Tiên (TP. Phú Mỹ), Xã Châu Pha (TP. Phú Mỹ)		phường Long Hương, phường Tân Hải, phường Tân Phước, phường Phú Mỹ, phường Tân Thành, xã Ngãi Giao và xã Nghĩa Thành	UBND Xã Châu Pha	thôn Tân Lễ B, xã Châu Pha, TP.Phú Mỹ	UBND Xã Châu Pha thôn Tân Lễ B, xã Châu Pha, TP.Phú Mỹ 	10.5735425	107.160176			  			
Chợ Lớn	52	Phường	85066	1.67	50937.72	Phường 11 (Quận 5), Phường 12 (Quận 5), Phường 13 (Quận 5), Phường 14 (Quận 5)		phường An Đông, phường Phú Định, phường Bình Tây, phường Bình Tiên, phường Diên Hồng và phường Minh Phụng		số 279 Hải Thượng Lãn Ông, phường 13, quận 5	 số 279 Hải Thượng Lãn Ông, phường 13, quận 5 	10.7506029	106.6550566			  			xây mới
Chợ Quán	53	Phường	63545	1.28	49644.53	Phường 1 (Quận 5), Phường 2 (Quận 5), Phường 4 (Quận 5)		phường An Đông, phường Cầu Ông Lãnh, phường Vườn Lài, phường Chánh Hưng, phường Vĩnh Hội và phường Bàn Cờ		số 462 - 464 - 466 An Dương Vương, phường 4, quận 5	 số 462 - 464 - 466 An Dương Vương, phường 4, quận 5 	10.7587371	106.6765588			  			xây mới
Côn Đảo	54	Đặc khu	6502	75.79	85.79	Định hướng chuyển thành đặc khu từ toàn bộ Huyện Côn Đảo		không	UBND huyện Côn Đảo	28 Tôn Đức Thắng, huyện Côn Đảo	UBND huyện Côn Đảo 28 Tôn Đức Thắng, huyện Côn Đảo 	8.682211	106.6072676			  			
