Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Trụ sở hành chính 1	Địa chỉ trụ sở hành chính 1	Full Address 1	Latitude 1	Longitude 1	Trụ sở hành chính 2	Địa chỉ trụ sở hành chính 2	Full Address 2	Latitude 2	Longitude 2	Ghi chú trụ sở
Tân Hưng	126	Phường	153674	8.54	17994.61	Phường Tân Phong (Quận 7), Phường Tân Hưng (Quận 7), Phường Tân Kiểng (Quận 7), Phường Tân Quy (Quận 7)		phường Tân Mỹ, phường Tân Thuận, phường Khánh Hội, phường Xóm Chiếu, phường Vĩnh Hội, phường Chánh Hưng, xã Bình Hưng và xã Nhà Bè	UBND phường Tân Hưng	số 9 đường 4A, phường Tân Hưng, quận 7	UBND phường Tân Hưng số 9 đường 4A, phường Tân Hưng, quận 7 	10.7440068	106.7006338			  			
Tân Khánh	127	Phường	126393	38.23	3306.02	Xã Thạnh Hội (TP. Tân Uyên), Phường Thạnh Phước (TP. Tân Uyên), Phường Tân Phước Khánh (TP. Tân Uyên), Phường Tân Vĩnh Hiệp (TP. Tân Uyên)	Phường Thái Hoà (TP. Tân Uyên)	phường Tân Uyên, phường Bình Dương, phường Phú Lợi, phường Thuận Giao, phường Tân Đông Hiệp, phường An Phú, phường Tân Hiệp và tỉnh Đồng Nai	UBND phường Tân Phước Khánh	đường ĐT746, phường Tân Phước Khánh, TP.Tân Uyên	UBND phường Tân Phước Khánh đường ĐT746, phường Tân Phước Khánh, TP.Tân Uyên 	11.0034677	106.7211887			  			
Tân Mỹ	128	Phường	68124	6.45	10561.86	Phường Tân Phú (Quận 7)	Phường Phú Mỹ (Quận 7)	phường Tân Thuận, phường Phú Thuận, phường Tân Hưng và xã Nhà Bè	UBND quận 7	số 7 Tân Phú, phường Tân Phú, quận 7	UBND quận 7 số 7 Tân Phú, phường Tân Phú, quận 7 	10.7323285	106.7266394			  			
Tân Nhựt	129	Xã	115513	43.67	2645.13	Xã Tân Nhựt (H. Bình Chánh), Thị trấn Tân Túc (H. Bình Chánh)	Xã Tân Kiên (H. Bình Chánh), Phường Tân Tạo A (Quận Bình Tân), Phường 16 (Quận 8)	xã Bình Lợi, xã Bình Chánh, phường Phú Định, phường Bình Đông, phường An Lạc, phường Tân Tạo và tỉnh Tây Ninh	UBND huyện Bình Chánh	số 349 Tân Túc, thị trấn Tân Túc, huyện Bình Chánh	UBND huyện Bình Chánh số 349 Tân Túc, thị trấn Tân Túc, huyện Bình Chánh 	10.6898652	106.5842375			  			
Tân Phú	130	Phường	93117	2.52	36951.19	Phường Phú Trung (Quận Tân Phú), Phường Hoà Thạnh (Quận Tân Phú)	Phường Tân Thành (Quận Tân Phú), Phường Tân Thới Hoà (Quận Tân Phú)	phường Phú Thọ Hoà, phường Tân Sơn Nhì, phường Phú Thạnh, phường Bình Thới, phường Hoà Bình, phường Bảy Hiền, phường Tân Bình	UBND quận Tân Phú	số 70A Thoại Ngọc Hầu, phường Hòa Thạnh, quận Tân Phú	UBND quận Tân Phú số 70A Thoại Ngọc Hầu, phường Hòa Thạnh, quận Tân Phú 	10.7835169	106.6369215			  			
Tân Phước	131	Phường	29363	83.62	351.15	Phường Tân Phước (TP. Phú Mỹ), Phường Phước Hoà (TP. Phú Mỹ)		phường Phú Mỹ, phường Tân Hải, xã Châu Pha, xã Thạnh An và Biển Đông	UBND Phường Phước Hòa	khu phố Tân Lộc, phường Phước Hoà, TP.Phú Mỹ	UBND Phường Phước Hòa khu phố Tân Lộc, phường Phước Hoà, TP.Phú Mỹ 	10.5833237	107.072273			  			
Tân Sơn	132	Phường	77229	10.12	7631.32		Phường 15 (Quận Tân Bình)	phường Tân Bình, phường Bảy Hiền, phường Tân Sơn Hoà, phường Tân Sơn Nhất, phường Hạnh Thông, phường Gò Vấp, phường Thông Tây Hội, phường An Hội Tây, phường Đông Hưng Thuận và phường Tây Thạnh	UBND phường 15	số 822 Trường Chinh, phường 15, quận Tân Bình.	UBND phường 15 số 822 Trường Chinh, phường 15, quận Tân Bình. 	10.8184994	106.6317638			  			
Tân Sơn Hoà	133	Phường	64150	2.62	24484.73	Phường 1 (Quận Tân Bình), Phường 2 (Quận Tân Bình), Phường 3 (Quận Tân Bình)		phường Tân Sơn Nhất, phường Tân Bình, phường Tân Sơn, phường Hạnh Thông, phường Đức Nhuận và phường Phú Nhuận	UBND phường 1	số 291 Lê Văn Sỹ, phường 1, quận Tân Bình	UBND phường 1 số 291 Lê Văn Sỹ, phường 1, quận Tân Bình 	10.7946969	106.6675305			  			
Tân Sơn Nhất	134	Phường	84639	3.19	26532.6	Phường 4 (Quận Tân Bình), Phường 5 (Quận Tân Bình), Phường 7 (Quận Tân Bình)		phường Tân Sơn Hoà, phường Bảy Hiền, phường Tân Hoà, phường Tân Sơn và phường Nhiêu Lộc	UBND phường 4	số 25/4 - 6 Hoàng Việt, phường 4, quận Tân Bình	UBND phường 4 số 25/4 - 6 Hoàng Việt, phường 4, quận Tân Bình 	10.7969675	106.6591899			  			
Tân Sơn Nhì	135	Phường	117277	3.46	33895.09	Phường Tân Sơn Nhì (Quận Tân Phú)	Phường Sơn Kỳ (Quận Tân Phú), Phường Tân Quý (Quận Tân Phú), Phường Tân Thành (Quận Tân Phú)	phường Tây Thạnh, phường Phú Thọ Hoà, phường Tân Phú, phường Tân Bình, phường Bình Hưng Hoà	UBND phường Tân Sơn Nhì	số 6 Nguyễn Thế Truyện, phường Tân Sơn Nhì, quận Tân Phú	UBND phường Tân Sơn Nhì số 6 Nguyễn Thế Truyện, phường Tân Sơn Nhì, quận Tân Phú 	10.7949154	106.6317553			  			
Tân Tạo	136	Phường	113363	14.71	7706.53		Phường Tân Tạo A (Quận Bình Tân), Phường Tân Tạo (Quận Bình Tân), Xã Tân Kiên (Huyện Bình Chánh)	phường An Lạc, phường Bình Trị Đông, phường Bình Tân, xã Bình Lợi và xã Tân Nhựt	UBND phường Tân Tạo A	số 1409 tỉnh lộ 10, phường Tân Tạo A, quận Bình Tân	UBND phường Tân Tạo A số 1409 tỉnh lộ 10, phường Tân Tạo A, quận Bình Tân 	10.7564917	106.5869855			  			
Tân Thành	137	Phường	33943	61.63	550.79	Phường Hắc Dịch (TP. Phú Mỹ), Xã Sông Xoài (TP. Phú Mỹ)		phường Phú Mỹ, xã Châu Pha, xã Ngãi Giao, xã Kim Long, xã Châu Đức và tỉnh Đồng Nai	UBND Phường Hắc Dịch	khu phố 5, phường Hắc Dịch, TP.Phú Mỹ	UBND Phường Hắc Dịch khu phố 5, phường Hắc Dịch, TP.Phú Mỹ 	10.641694	107.1216848			  			
Tân Thới Hiệp	138	Phường	168060	8.06	20851.12	Phường Hiệp Thành (Quận 12), Phường Tân Thới Hiệp (Quận 12)		phường Trung Mỹ Tây, phường Thới An, phường An Hội Tây và xã Đông Thạnh	UBND phường Tân Thới Hiệp	số 226 Trương Thị Hoa, phường Tân Thới Hiệp, quận 12	UBND phường Tân Thới Hiệp số 226 Trương Thị Hoa, phường Tân Thới Hiệp, quận 12 	10.8669945	106.6420052			  			
Tân Thuận	139	Phường	148090	10.16	14575.79	Phường Bình Thuận (Quận 7), Phường Tân Thuận Đông (Quận 7), Phường Tân Thuận Tây (Quận 7)		phường Phú Thuận, phường Tân Mỹ, phường Tân Hưng, phường Xóm Chiếu, phường Cát Lái, phường Bình Trưng và phường An Khánh	UBND phường Bình Thuận	số 342 Huỳnh Tấn Phát, phường Bình Thuận, quận 7	UBND phường Bình Thuận số 342 Huỳnh Tấn Phát, phường Bình Thuận, quận 7 	10.7489338	106.7286503			  			
Tân Uyên	140	Phường	73032	94.67	771.46	Phường Uyên Hưng (TP. Tân Uyên), Xã Bạch Đằng (TP. Tân Uyên), Xã Tân Lập (H. Bắc Tân Uyên)	Xã Tân Mỹ (H. Bắc Tân Uyên)	phường Tân Khánh, phường Tân Hiệp, phường Bình Cơ, xã Bắc Tân Uyên, xã Thường Tân và tỉnh Đồng Nai	UBND TP Tân Uyên	khu phố 1, phường Uyên Hưng, TP.Tân Uyên	UBND TP Tân Uyên khu phố 1, phường Uyên Hưng, TP.Tân Uyên 	11.0574139	106.7948272			  			
Tân Vĩnh Lộc	141	Xã	163839	34.05	4811.72	Xã Vĩnh Lộc B (H. Bình Chánh)	Xã Phạm Văn Hai (H. Bình Chánh), Phường Tân Tạo (Quận Bình Tân)	xã Vĩnh Lộc, xã Bình Lợi, phường Bình Tân và tỉnh Tây Ninh	UBND xã Vĩnh Lộc B	số 1304 Vĩnh Lộc, ấp 6, xã Vĩnh Lộc B, huyện Bình Chánh	UBND xã Vĩnh Lộc B số 1304 Vĩnh Lộc, ấp 6, xã Vĩnh Lộc B, huyện Bình Chánh 	10.7983625	106.5604023			  			
Tăng Nhơn Phú	142	Phường	208233	16.51	12612.54	Phường Hiệp Phú (TP. Thủ Đức), Phường Tân Phú (TP. Thủ Đức), Phường Tăng Nhơn Phú A (TP. Thủ Đức), Phường Tăng Nhơn Phú B (TP. Thủ Đức)	Phường Long Thạnh Mỹ (TP. Thủ Đức)	phường Linh Xuân, phường Long Bình, phường Long Trường, phường Long Phước, phường Phước Long và phường Thủ Đức	UBND phường Tăng Nhơn Phú A	số 29 Lê Văn Việt, phường Tăng Nhơn Phú A, TP.Thủ Đức	UBND phường Tăng Nhơn Phú A số 29 Lê Văn Việt, phường Tăng Nhơn Phú A, TP.Thủ Đức 	10.8453805	106.7873411			  			
Tây Nam	143	Phường	56784	119.8	474	Phường An Tây (TP. Bến Cát)	Xã Thanh Tuyền (H. Dầu Tiếng), Xã An Lập (H. Dầu Tiếng)	phường Long Nguyên, phường Phú An, xã Thanh An, xã An Nhơn Tây, xã Nhuận Đức và xã Phú Hoà Đông	UBND phường An Tây	ấp 2, phường An Tây, TP.Bến Cát	UBND phường An Tây ấp 2, phường An Tây, TP.Bến Cát 	11.0929708	106.5403184			  			
Tây Thạnh	144	Phường	72616	3.95	18383.8	Phường Tây Thạnh (Quận Tân Phú)	Phường Sơn Kỳ (Quận Tân Phú)	phường Tân Sơn Nhì, phường Tân Sơn, phường Đông Hưng Thuận, phường Bình Hưng Hoà và phường Tân Bình	UBND phường Tây Thạnh	số 200/12 Nguyễn Hữu Tiến, phường Tây Thạnh, quận Tân Phú	UBND phường Tây Thạnh số 200/12 Nguyễn Hữu Tiến, phường Tây Thạnh, quận Tân Phú 	10.8131847	106.6236711			  			
Thái Mỹ	145	Xã	49862	62.44	798.56	Xã Trung Lập Thượng (H. Củ Chi), Xã Thái Mỹ (H. Củ Chi), Xã Phước Thạnh (H. Củ Chi)		xã Tân An Hội, xã An Nhơn Tây, xã Nhuận Đức và tỉnh Tây Ninh	UBND xã Phước Thạnh	số 712 Phan Văn Khải (Quốc lộ 22), xã Phước Thạnh, huyện Củ Chi	UBND xã Phước Thạnh số 712 Phan Văn Khải (Quốc lộ 22), xã Phước Thạnh, huyện Củ Chi 	11.0046035	106.4322219			  			
Thanh An	146	Xã	25324	136.72	185.23	Xã Thanh An (H. Dầu Tiếng)	Xã Định Hiệp (H. Dầu Tiếng), Xã Thanh Tuyền (H. Dầu Tiếng), Xã An Lập (H. Dầu Tiếng)	xã Long Hoà, xã Dầu Tiếng, phường Long Nguyên, phường Tây Nam và tỉnh Tây Ninh	UBND xã Thanh An	ấp Cần Giăng, xã Thanh An, huyện Dầu Tiếng	UBND xã Thanh An ấp Cần Giăng, xã Thanh An, huyện Dầu Tiếng 	11.2016344	106.3996391			  			
Thạnh An	147	Xã	5180	131.31	39.45	Xã Thạnh An (H. Cần Giờ) (giữ nguyên)		xã Bình Khánh, xã Cần Giờ, phường Tân Phước, phường Phú Mỹ và tỉnh Đồng Nai	UBND xã Thạnh An	ấp Thạnh Hòa, xã đảo Thạnh An, huyện Cần Giờ	UBND xã Thạnh An ấp Thạnh Hòa, xã đảo Thạnh An, huyện Cần Giờ 	10.4706724	106.9752091			  			
Thạnh Mỹ Tây	148	Phường	153216	4.4	34821.82	Phường 19 (Quận Bình Thạnh), Phường 22 (Quận Bình Thạnh), Phường 25 (Quận Bình Thạnh)		phường Gia định, phường Bình Thạnh, phường Bình Quới, phường An Khánh và phường Sài Gòn	UBND phường 22	số 602/39 Điện Biên Phủ, phường 22, quận Bình Thạnh	UBND phường 22 số 602/39 Điện Biên Phủ, phường 22, quận Bình Thạnh 	10.7976076	106.7189684	 		   			
Thới An	149	Phường	125657	14.9	8433.36	Phường Thới An (Quận 12), Phường Thạnh Xuân (Quận 12)		phường An Phú Đông, phường Tân Thới Hiệp, phường An Hội Đông, phường An Hội Tây và xã Đông Thạnh	UBND phường Thới An	số 340 Lê Văn Khương, phường Thới An, quận 12	UBND phường Thới An số 340 Lê Văn Khương, phường Thới An, quận 12 	10.8754927	106.6494849			  			
Thới Hoà	150	Phường	79601	37.93	2098.6	Phường Thời Hoà (TP. Bến Cát) (giữ nguyên)		phường Hoà Lợi, phường Long Nguyên, phường Phú An, phường Bến Cát và phường Chánh Phú Hoà	UBND phường Thới Hòa	quốc lộ 13, khu phố 3A, phường Thới Hòa, TP.Bến Cát	UBND phường Thới Hòa quốc lộ 13, khu phố 3A, phường Thới Hòa, TP.Bến Cát 	11.0904975	106.625881			  			
Thông Tây Hội	151	Phường	121192	3.24	37404.94	Phường 8 (Quận Gò Vấp), Phường 11 (Quận Gò Vấp)		phường An Hội Tây, phường Gò Vấp, phường An Hội Đông và phường Tân Sơn	UBND phường 11	số 563 Quang Trung, phường 11, quận Gò Vấp	UBND phường 11 số 563 Quang Trung, phường 11, quận Gò Vấp 	10.8359256	106.6582943			  			
Thủ Dầu Một	152	Phường	88132	15.68	5620.66	Phường Phú Cường (TP. Thủ Dầu Một), Phường Phú Thọ (TP. Thủ Dầu Một), Phường Chánh Nghĩa (TP. Thủ Dầu Một)	Phường Hiệp Thành (TP. Thủ Dầu Một), Phường Chánh Mỹ (TP. Thủ Dầu Một)	phường Phú Lợi, phường Thuận An, phường Chánh Hiệp, phường Thuận Giao và xã Bình Mỹ	UBND TP Thủ Dầu Một	số 1 Quang Trung, phường Phú Cường, TP.Thủ Dầu Một	UBND TP Thủ Dầu Một số 1 Quang Trung, phường Phú Cường, TP.Thủ Dầu Một 	10.9799204	106.6501531			  			
Thủ Đức	153	Phường	118952	8.81	13501.93	Phường Bình Thọ (TP. Thủ Đức), Phường Linh Chiểu (TP. Thủ Đức), Phường Trường Thọ (TP. Thủ Đức)	Phường Linh Đông (TP. Thủ Đức), Phường Linh Tây (TP. Thủ Đức)	phường Linh Xuân, phường Hiệp Bình, phường Tăng Nhơn Phú, phường Phước Long, phường Bình Quới	UBND phường Bình Thọ	số 17 Chân Lý, phường Bình Thọ, TP.Thủ Đức	UBND phường Bình Thọ số 17 Chân Lý, phường Bình Thọ, TP.Thủ Đức 	10.8493971	106.7694206			  			
Thuận An	154	Phường	64689	16.11	4015.46	Phường Hưng Định (TP. Thuận An), Phường An Thạnh (TP. Thuận An), Xã An Sơn (TP. Thuận An)		phường Thuận Giao, phường Lái Thiêu, phường Phú Lợi, phường Thủ Dầu Một, xã Bình Mỹ và xã Đông Thạnh	UBND phường Hưng Định	số 289 Hưng Định, phường Hưng Định, TP.Thuận An	UBND phường Hưng Định số 289 Hưng Định, phường Hưng Định, TP.Thuận An 	10.9398132	106.6915147			  			
Thuận Giao	155	Phường	150781	16.81	8969.72	Phường Thuận Giao (TP. Thuận An)	Phường Bình Chuẩn (TP. Thuận An)	phường An Phú, phường Thuận An, phường Phú Lợi, phường Lái Thiêu, phường Bình Hoà và phường Tân Khánh	UBND phường Bình Chuẩn	đường Thủ Khoa Huân, phường Bình Chuẩn, TP.Thuận An	UBND phường Bình Chuẩn đường Thủ Khoa Huân, phường Bình Chuẩn, TP.Thuận An 	10.9824581	106.7212357			  			
Thường Tân	156	Xã	21238	120.7	175.96	Xã Thường Tân (H. Bắc Tân Uyên), Xã Lạc An (H. Bắc Tân Uyên), Xã Hiếu Liêm (H. Bắc Tân Uyên)	Xã Tân Mỹ (H. Bắc Tân Uyên)	xã Bắc Tân Uyên, phường Tân Uyên và tỉnh Đồng Nai	UBND xã Lạc An	ấp 3, xã Tân Mỹ, huyện Bắc Tân Uyên	UBND xã Lạc An ấp 3, xã Tân Mỹ, huyện Bắc Tân Uyên 	11.0670003	106.93544			  			
Trừ Văn Thố	157	Xã	24533	76.56	320.43	Xã Trừ Văn Thố (H. Bàu Bàng), Xã Cây Trường II (H. Bàu Bàng)	Thị trấn Lai Uyên (H. Bàu Bàng)	xã An Long, xã Long Hoà, xã Bàu Bàng và tỉnh Đồng Nai	UBND xã Cây Trường II	đường ĐT 750, ấp Ông Chài, xã Cây Trường II, huyện Bàu Bàng	UBND xã Cây Trường II đường ĐT 750, ấp Ông Chài, xã Cây Trường II, huyện Bàu Bàng 	11.344819	106.578509			  			
Trung Mỹ Tây	158	Phường	126470	6.93	18249.64	Phường Trung Mỹ Tây (Quận 12), Phường Tân Chánh Hiệp (Quận 12)		phường Đông Hưng Thuận, phường Tân Thới Hiệp, xã Bà Điểm, xã Đông Thạnh	UBND phường Trung Mỹ Tây	số 15/91 Đồng Tiến, phường Trung Mỹ Tây, quận 12	UBND phường Trung Mỹ Tây số 15/91 Đồng Tiến, phường Trung Mỹ Tây, quận 12 	10.8473475	106.6164001			  			
Vĩnh Hội	159	Phường	63015	1.17	53858.97	Phường 1 (Quận 4), Phường 3 (Quận 4)	Phường 2 (Quận 4), Phường 4 (Quận 4)	phường Khánh Hội, phường Cầu Ông Lãnh, phường Chợ Quán, phường Chánh Hưng, phường Tân Hưng	Nhà thiếu nhi Quận 4	số 405 Hoàng Diệu, phường 2, quận 4	Nhà thiếu nhi Quận 4 số 405 Hoàng Diệu, phường 2, quận 4 	10.759179	106.6980305			  			
Vĩnh Lộc	160	Xã	167521	30.55	5483.5	Xã Vĩnh Lộc A (H. Bình Chánh)	Xã Phạm Văn Hai (H. Bình Chánh)	xã Tân Vĩnh Lộc, phường Bình Tân, xã Bà Điểm, xã Xuân Thới Sơn và tỉnh Tây Ninh	UBND xã Vĩnh Lộc A	số F7/16 Vĩnh Lộc, xã Vĩnh Lộc A, huyện Bình Chánh	UBND xã Vĩnh Lộc A số F7/16 Vĩnh Lộc, xã Vĩnh Lộc A, huyện Bình Chánh 	10.81346	106.5786221			  			
Vĩnh Tân	161	Phường	61865	61.35	1008.39	Thị trấn Tân Bình (H. Bắc Tân Uyên), Phường Vĩnh Tân (TP. Tân Uyên)		phường Bình Cơ, phường Chánh Phú Hoà, phường Hoà Lợi, phường Bình Dương, phường Tân Hiệp và xã Phước Hoà	UBND phường Vĩnh Tân	đường 742, phường Vĩnh Tân, TP.Tân Uyên	UBND phường Vĩnh Tân đường 742, phường Vĩnh Tân, TP.Tân Uyên 	11.1156601	106.7060936			  			
Vũng Tàu	162	Phường	117413	16.86	6963.99	Phường 1 (TP. Vũng Tàu), Phường 2 (TP. Vũng Tàu), Phường 3 (TP. Vũng Tàu), Phường 4 (TP. Vũng Tàu), Phường 5 (TP. Vũng Tàu), Phường Thắng Nhì (TP. Vũng Tàu), Phường Thắng Tam (TP. Vũng Tàu)		phường Tam Thắng và Biển Đông	UBND TP Vũng Tàu	số 89 Lý Thường Kiệt, phường 1, TP.Vũng Tàu	UBND TP Vũng Tàu số 89 Lý Thường Kiệt, phường 1, TP.Vũng Tàu 	10.3502593	107.0762912			  			
Vườn Lài	163	Phường	104076	1.28	81309.38	Phường 1 (Quận 10), Phường 2 (Quận 10), Phường 4 (Quận 10), Phường 9 (Quận 10), Phường 10 (Quận 10)		phường Diên Hồng, phường Hoà Hưng, phường Bàn Cờ, phường Chợ Quán và phường An Đông	UBND phường 4	số 410 - 412 Ngô Gia Tự, phường 4, quận 10	UBND phường 4 số 410 - 412 Ngô Gia Tự, phường 4, quận 10 	10.76155	106.669813			  			
Xóm Chiếu	164	Phường	57875	1.94	29832.47	Phường 13 (Quận 4), Phường 16 (Quận 4), Phường 18 (Quận 4)	Phường 15 (Quận 4)	phường Khánh Hội, phường Tân Thuận, phường Sài Gòn, phường Bến Thành và phường An Khánh	UBND quận 4	số 18 Đoàn Như Hài, phường 13, quận 4	UBND quận 4 số 18 Đoàn Như Hài, phường 13, quận 4 	10.7663304	106.7051269			  			
Xuân Hoà	165	Phường	48464	2.22	21830.63	Phường Võ Thị Sáu (Quận 3)	Phường 4 (Quận 3)	phường Nhiêu Lộc, phường Bàn Cờ, phường Tân Định, phường Sài Gòn, phường Vườn Lài, phường Phú Nhuận	UBND quận 3	số 99 - 99A Trần Quốc Thảo, phường Võ Thị Sáu, quận 3	UBND quận 3 số 99 - 99A Trần Quốc Thảo, phường Võ Thị Sáu, quận 3 	10.7828058	106.6861435			  			
Xuân Sơn	166	Xã	27368	73.81	370.79	Xã Suối Rao (H. Châu Đức), Xã Xuân Sơn (H. Châu Đức), Xã Sơn Bình (H. Châu Đức)		xã Bình Giã, xã Nghĩa Thành, xã Đất Đỏ, xã Hồ Tràm, xã Hoà Hội và xã Bàu Lâm	UBND Xã Xuân Sơn	tổ 10, thôn Xuân Tân, xã Xuân Sơn, huyện Châu Đức	UBND Xã Xuân Sơn tổ 10, thôn Xuân Tân, xã Xuân Sơn, huyện Châu Đức 	10.6470359	107.3291263			  			
Xuân Thới Sơn	167	Xã	103643	35.21	2943.57	Xã Xuân Thới Đông (H. Hóc Môn), Xã Xuân Thới Sơn (H. Hóc Môn), Xã Tân Thới Nhì (H. Hóc Môn)		xã Hóc Môn, xã Bà Điểm, xã Củ Chi và tỉnh Tây Ninh	UBND xã Xuân Thới Sơn	số 1A Lê Thị Kim, ấp 3, xã Xuân Thới Sơn, huyện Hóc Môn	UBND xã Xuân Thới Sơn số 1A Lê Thị Kim, ấp 3, xã Xuân Thới Sơn, huyện Hóc Môn 	10.8746712	106.5842113			  			
Xuyên Mộc	168	Xã	26917	102.96	261.43	Xã Bông Trang, Xã Xuyên Mộc, Xã Bưng Riềng (H. Xuyên Mộc)		xã Bình Châu, xã Hoà Hội, xã Hồ Tràm và Biển Đông	UBND Xã Bông Trang	quốc lộ 55, ấp Trang Hoàng, xã Bông Trang, huyện Xuyên Mộc	UBND Xã Bông Trang quốc lộ 55, ấp Trang Hoàng, xã Bông Trang, huyện Xuyên Mộc 	10.5532506	107.4554749			  			
